Libris

19.10.2016		16293-EQWX

Noul branding - Claudia Fisher-Buttinger, Christine Vallaster			8 Lei
Cum se scrie in publicitate - William Bernbach, Leo Burnett, George Gribbin, David Ogilvy, Denis Hig		8 Lei
ADland, istoria universala a publicitatii - Mark Tungate			10 Lei
Dictionarul Blackwell de sociologie - Allan G. Johnson				9 Lei
Miracole acum - Gabrielle Bernstein									25 Lei
Strategii pentru brandingul de succes - Hamish Pringle, Peter Field		10 Lei


05.10.2016		16279-LSFH

Creierul si inteligenta emotionala - Richard J. Davidson, Sharon Begley 	14.95
Invataturi Care Schimba Vieti - Marilee Adams 								18.78
Cele 17 legi ale muncii in echipa - John C. Maxwell							12.05
Inteligenta personala - John D. Mayer										14.95
Uneori castigi, uneori pierzi, inveti - John C. Maxwell						16.86


27.09.2016		16271-MDYQ

Curs de vanzari - Zig Ziglar										17.92
Cum sa castigi noi clienti - Frederic Vendeuvre						7.22
Antreprenor la minut - Ken Blanchard, Don Hutson, Ethan Willis		19.71
Kiosc - Branding - Don Sexton										13.35
